pathway,observer_a,observer_b,n,mae_deg,median_absolute_difference_deg,rmse_deg,bias_deg,difference_sd_deg,loa_lower_deg,loa_upper_deg,within_3_deg_percent,within_5_deg_percent,pearson_r,spearman_rho,ccc
Human-centroid spline,Carl,Peter,498,2.7048192771084336,2.0,3.5321245185380756,1.3112449799196788,3.283014339773105,-5.123463126035606,7.745953085874964,71.6867469879518,88.55421686746988,0.9333014783849928,0.9132689184179293,0.9224069714690686
Human-centroid spline,Carl,Marlene,498,2.674698795180723,2.0,3.766263261619306,0.6305220883534136,3.7168429693040363,-6.654490131482498,7.915534308189325,72.89156626506023,90.16064257028113,0.9151649631124108,0.8990202701969829,0.912613491705904
Human-centroid spline,Carl,Wadim,498,2.502008032128514,2.0,3.5971876565095373,-0.03614457831325301,3.600622961299523,-7.093365582460318,7.0210764258338125,77.91164658634538,89.95983935742971,0.9222063434954793,0.9014359408261117,0.9221986038130906
Human-centroid spline,Peter,Marlene,498,2.5602409638554215,2.0,3.533829623401348,-0.6807228915662651,3.471132733596273,-7.484143049414961,6.1226972662824295,76.10441767068274,90.56224899598394,0.9225026722945522,0.9032788206309301,0.919593709461775
Human-centroid spline,Peter,Wadim,498,2.7008032128514055,2.0,3.6807869771401247,-1.3473895582329318,3.4287521433334733,-8.06774375916654,5.372964642700676,72.48995983935743,89.1566265060241,0.9272816289825618,0.9033409608813223,0.9158784415607825
Human-centroid spline,Marlene,Wadim,498,2.6706827309236947,2.0,3.918855664460673,-0.6666666666666666,3.865616546040159,-8.243275096905379,6.909941763572045,75.70281124497991,87.75100401606426,0.9083329867434355,0.8817883987558657,0.905516681831314
Traditional manual Cobb,Carl,Peter,498,3.0803212851405624,3.0,3.8812700277244883,-0.13253012048192772,3.8829071365515406,-7.743028108122947,7.477967867159092,64.2570281124498,85.54216867469879,0.8901300390669508,0.8705976499702535,0.8898631996885505
Traditional manual Cobb,Carl,Marlene,498,3.3835341365461846,3.0,4.359129274537349,1.4959839357429718,4.098508333418094,-6.537092397756492,9.529060269242436,60.8433734939759,79.31726907630522,0.875411374879369,0.8381623562742546,0.8610866499719759
Traditional manual Cobb,Carl,Wadim,498,3.248995983935743,3.0,4.193607680926544,1.2248995983935742,4.014764312493207,-6.644038454093111,9.093837650880259,59.43775100401606,83.13253012048193,0.8949653621266257,0.8623211861668991,0.8822211856172297
Traditional manual Cobb,Peter,Marlene,498,3.5562248995983934,3.0,4.647623221220251,1.6285140562248996,4.357346556666404,-6.911885194841252,10.168913307291051,59.63855421686747,78.3132530120482,0.861887716423686,0.819515554717399,0.8454202758688273
Traditional manual Cobb,Peter,Wadim,498,3.5502008032128516,3.0,4.6603514354614965,1.357429718875502,4.462762881365318,-7.389585528600521,10.104444966351526,60.44176706827309,76.30522088353415,0.8701544550046783,0.8443716233413076,0.8572918082457232
Traditional manual Cobb,Marlene,Wadim,498,3.431726907630522,3.0,4.514367959337071,-0.2710843373493976,4.510752549218071,-9.112159333816818,8.569990659118021,58.032128514056225,81.52610441767068,0.8664070485416673,0.833109818733803,0.862499331431761
